Galaxy,Gas/Dust,G/D unc.,Upper lim.,Lower lim.,Metallicity,Met.Uncert
Haro 11         ,295.632,295.632,0,0,8.36,0.01
Haro 2        ,1121.08,1121.08,0,0,8.23,0.03
Haro 3       ,803.693,803.693,0,0,8.28,0.01
He 2-10 ,539.264,539.264,0,0,8.43,0.01
HS 0017+1055  ,4365.73,4365.73,1,0,7.63,0.1
HS 0052+2536  ,11993.3,11993.3,1,0,8.04,0.1
HS 0822+3542 ,24048.6,24048.6,0,0,7.32,0.03
HS 1222+3741  ,,,0,1,7.79,0.01
HS 1236+3937  ,,,0,1,7.72,0.1
HS 1304+3529  ,,,0,1,7.93,0.1
HS 1319+3224  ,,,0,1,7.81,0.1
HS 1330+3651  ,,,0,1,7.98,0.1
HS 1442+4250  ,72575.7,72575.7,0,0,7.6,0.01
HS 2352+2733  ,,,1,1,8.4,0.1
I Zw 18    ,469428,469428,0,0,7.14,0.01
IC 10    ,433.84,433.84,0,0,8.17,0.03
II Zw 40    ,1981.25,1981.25,0,0,8.23,0.01
Mrk 1089   ,975.543,975.543,0,0,8.1,0.08
Mrk 1450   ,2118.19,2118.19,0,0,7.84,0.01
Mrk 153    ,9722.68,9722.68,1,0,7.86,0.04
Mrk 209    ,79479.8,79479.8,0,0,7.74,0.01
Mrk 930      ,295.545,295.545,0,0,8.03,0.01
NGC 1140  ,1165.72,1165.72,0,0,8.38,0.01
NGC 1569  ,729.605,729.605,0,0,8.02,0.02
NGC 1705  ,577.574,577.574,0,1,8.27,0.11
NGC 2366  ,5298.12,5298.12,0,0,7.7,0.01
NGC 4214  ,258.007,258.007,0,0,8.26,0.01
NGC 4449  ,489.689,489.689,0,0,8.2,0.11
NGC 4861  ,1923.73,1923.73,0,0,7.89,0.01
NGC 5253  ,298.01,298.01,0,0,8.25,0.02
NGC 625  ,374.897,374.897,0,0,8.22,0.02
NGC 6822  ,214.26,214.26,0,0,7.96,0.01
Pox 186  ,34.8331,34.8331,1,0,7.7,0.01
SBS 0335-052 ,353449,353449,0,0,7.25,0.01
SBS 1159+545 ,2244.38,2244.38,1,0,7.44,0.01
SBS 1211+540  ,53191,53191,0,0,7.58,0.01
SBS 1249+493 ,4685.76,4685.76,0,0,7.68,0.02
SBS 1415+437   ,152927,152927,0,0,7.55,0.01
SBS 1533+574  ,9003.44,9003.44,0,0,8.05,0.01
Tol 0618-402   ,,,0,1,8.09,0.01
Tol 1214-277   ,1263.1,1263.1,1,0,7.52,0.01
UGC 4483  ,237851,237851,0,0,7.46,0.02
UGCA 20   ,,,0,0,7.5,0.02
UM 133  ,21008.8,21008.8,0,0,7.82,0.01
UM 311  ,1679.96,1679.96,0,0,8.36,0.01
UM 448  ,2059.82,2059.82,0,0,8.32,0.01
UM 461  ,13488.6,13488.6,0,0,7.73,0.01
VII Zw 403   ,8026.71,8026.71,0,0,7.66,0.01
