#Source,T_K,T_unchi,T_unclo,beta_obs,beta_unchi,beta_unclo,Mdust_Msun,Mdust_unchi,Mdust_unclo,Metallicity,Met.Uncert
Haro11,38,11,6,1.96,0.44,0.41,5000000,6500000,3300000,8.36,0.01
Haro2,25,3,1,2.38,0.09,0.38,2100000,500000,900000,8.23,0.03
Haro3,26,3,2,2.15,0.31,0.34,1700000,1100000,800000,8.28,0.01
He2-10,26,4,1,2.24,0.21,0.4,1300000,500000,700000,8.43,0.01
HS0017+1055,98,34,36,0,1.34,0,1900,8200,1400,7.63,0.1
HS0052+2536,37,14,9,1.2,0.79,0.73,1100000,3100000,800000,8.04,0.1
HS0822+3542,np.nan,np.nan,np.nan,np.nan,np.nan,np.nan,np.nan,np.nan,np.nan,7.32,0.03
HS1222+3741,np.nan,np.nan,np.nan,np.nan,np.nan,np.nan,np.nan,np.nan,np.nan,7.79,0.01
HS1236+3937,np.nan,np.nan,np.nan,np.nan,np.nan,np.nan,np.nan,np.nan,np.nan,7.72,0.1
HS1304+3529,32,7,3,2.05,0.47,0.72,220000,150000,130000,7.93,0.1
HS1319+3224,np.nan,np.nan,np.nan,np.nan,np.nan,np.nan,np.nan,np.nan,np.nan,7.81,0.1
HS1330+3651,50,3,8,0,0.61,0,33000,34000,6000,7.98,0.1
HS1442+4250,np.nan,np.nan,np.nan,np.nan,np.nan,np.nan,np.nan,np.nan,np.nan,7.6,0.01
HS2352+2733,np.nan,np.nan,np.nan,np.nan,np.nan,np.nan,np.nan,np.nan,np.nan,8.4,0.1
IZw18,np.nan,np.nan,np.nan,np.nan,np.nan,np.nan,np.nan,np.nan,np.nan,7.14,0.01
IC10,21,3,1,2.25,0.26,0.49,260000,110000,140000,8.23,0.01
IIZw40,33,5,4,1.71,0.41,0.32,190000,180000,90000,8.17,0.03
Mrk1089,23,3,1,2.34,0.15,0.39,25000000,7000000,12000000,8.1,0.08
Mrk1450,43,40,13,1.35,1,0.92,7600,24600,6100,7.84,0.01
Mrk153,32,5,2,2.33,0.15,0.61,120000,40000,60000,7.86,0.04
Mrk209,34,6,3,1.95,0.42,0.47,2100,1400,1100,7.74,0.01
Mrk930,26,4,2,2.22,0.21,0.43,5700000,3000000,3000000,8.03,0.01
NGC1140,23,2,1,2.17,0.31,0.36,3000000,1700000,1500000,8.38,0.01
NGC1569,28,4,2,2.2,0.28,0.38,280000,150000,140000,8.02,0.02
NGC1705,33,5,4,1.16,0.33,0.28,8400,6700,3700,8.27,0.11
NGC2366,39,4,4,0.96,0.22,0.23,6800,2900,2100,7.7,0.01
NGC4214,26,3,3,1.39,0.37,0.37,200000,200000,100000,8.26,0.01
NGC4449,22,3,1,2.18,0.27,0.41,2300000,1200000,1200000,8.2,0.11
NGC4861,28,3,3,1.36,0.34,0.32,61000,52000,27000,7.89,0.01
NGC5253,30,5,3,1.86,0.4,0.37,190000,180000,100000,8.25,0.02
NGC625,29,4,3,1.33,0.35,0.3,59000,59000,27000,8.22,0.02
NGC6822,26,4,4,0.99,0.59,0.5,11000,16000,6000,7.96,0.01
Pox186,40,4,4,0,0,0,1600,700,500,7.7,0.01
SBS0335-052,89,10,8,1.64,0.39,0.33,800,180,140,7.25,0.01
SBS1159+545,np.nan,np.nan,np.nan,np.nan,np.nan,np.nan,np.nan,np.nan,np.nan,7.44,0.01
SBS1211+540,71,7,7,0.34,0.46,0.41,100,40,30,7.58,0.01
SBS1249+493,np.nan,np.nan,np.nan,np.nan,np.nan,np.nan,np.nan,np.nan,np.nan,7.68,0.02
SBS1415+437,35,16,3,2.37,0.15,1.2,4900,2100,3100,7.55,0.01
SBS1533+574,42,8,10,0.44,1,0.4,56000,114000,25000,8.05,0.01
Tol0618-402,np.nan,np.nan,np.nan,np.nan,np.nan,np.nan,np.nan,np.nan,np.nan,8.09,0.01
Tol1214-277,np.nan,np.nan,np.nan,np.nan,np.nan,np.nan,np.nan,np.nan,np.nan,7.52,0.01
UGC4483,np.nan,np.nan,np.nan,np.nan,np.nan,np.nan,np.nan,np.nan,np.nan,7.46,0.02
UGCA20,np.nan,np.nan,np.nan,np.nan,np.nan,np.nan,np.nan,np.nan,np.nan,7.5,0.02
UM133,41,16,15,0.44,1.89,0.57,3100,56400,2800,7.82,0.01
UM311,24,3,2,1.58,0.34,0.39,3700000,3500000,1900000,8.36,0.01
UM448,33,2,2,1.99,0.18,0.16,9900000,3500000,2500000,8.32,0.01
UM461,24,1,1,2.5,0,0,27000,5000,5000,7.73,0.01
VIIZw403,34,3,3,1.57,0.27,0.23,2100,1100,700,7.66,0.01
